WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1951,6170.049530809099,256.6827889882703,0.4789471017177073,0.039657848299362614,24.974040507925586,10.326688422725582,60.50019700997456,979.0342701067267,964.7719688076762,60.50019700997456,22.48282881713783,383105.50004254834,0.24296391428370645,0,0,0,1.0027397260273974,0.0,0,0.7000000000000001
1952,5886.181288951835,220.53049583159046,0.4805230263991646,0.0450282396054956,25.07860418649529,10.696586504133236,60.50019700997456,978.6412915501784,964.7139035738527,60.50019700997456,23.549304133125638,392514.1829545041,0.2489308618432928,0,0,0,1.0,0.0,0,0.5
1953,3811.676948218156,258.7976520087449,0.5332351314970081,0.057511654742298614,25.01696368860967,13.985845818293868,59.6383138407224,975.2734444939572,964.7767244421553,59.6383138407224,25.880719277858486,400652.5696950287,0.2540921928558021,0,0,0,1.0,0.0,0,0.35000000000000003
1954,3803.114617748527,212.05144921368182,0.4760289697735415,0.06064225329750076,25.10250556170348,14.002065675382216,59.3599023655685,975.2572246368687,964.7081305219467,59.3599023655685,24.73388951958707,387716.49667571497,0.2458881891652175,0,0,0,1.0,0.0,0,0.6000000000000001
1955,5672.879600260333,249.7991800258312,0.44035372729656336,0.05163011656961123,24.995454522292302,10.983391649843114,59.96423070377079,978.3371434840664,964.7573987599468,59.96423070377079,24.3804368061648,387680.07704879664,0.24586509198934337,0,0,0,1.0027397260273974,0.0,0,0.6000000000000001
1956,9153.793636168486,290.5219447532691,0.5045484527768191,0.026109393492951685,24.856746857894233,7.888748649627773,60.50019700997456,981.9674521353037,964.8613780473187,60.50019700997456,0.0,398434.37193763704,0.2526854210664872,0,0,0,0.9424657534246575,0.057534246575342465,21,0.4
1957,9912.101075056224,283.6079686159883,0.4398375761907168,0.019874696445110914,24.821781746274123,7.6731452915023075,60.17152891604115,982.3650492787621,964.8410290195503,60.17152891604115,0.0,360024.57724395255,0.22832608906897042,0,0,0,0.8547945205479452,0.14520547945205478,53,1.0
1958,4432.218100140775,243.27968621428658,0.4850384421166294,0.05278230872441863,25.041966722961305,12.869548197430234,59.956100344135464,976.3897421148207,964.7449711020424,59.956100344135464,27.166345830808982,426526.9171871804,0.2705015963896375,0,0,0,1.0,0.0,0,0.15000000000000002
1959,4629.081161917657,194.7956741845264,0.5339222515434264,0.0586341534250936,25.437889857510857,12.53751527247671,60.4717223942609,976.7217750397743,964.3985022799416,60.4717223942609,20.61520572867761,386338.1237913673,0.24501403081644296,0,0,0,1.0027397260273974,0.0,0,0.6000000000000001
1960,6081.317073546183,201.17011281861926,0.4821789809675057,0.03467215810530008,25.12608630142817,10.440917458799008,59.204928631335754,978.9128265007507,964.7062133951467,59.204928631335754,21.938060443046144,393378.01095065323,0.24947869796464564,0,0,0,1.0,0.0,0,0.5
1961,5569.845470794792,266.78604271350054,0.42751982499898,0.04608068852036901,24.91382922133461,11.124805023585123,60.50019700997456,978.1873527143596,964.7957891429297,60.50019700997456,24.79140620310677,394171.69766494643,0.24998205077685592,0,0,0,1.0,0.0,0,0.45
1962,7115.411678283417,283.6079686159883,0.42751982499898,0.038378226642973225,24.848040541431534,9.066320020042397,60.50019700997456,980.3715030695348,964.8410290195503,60.50019700997456,0.0,372751.03910598933,0.2363971582356604,0,0,0,0.936986301369863,0.06301369863013699,23,0.9
1963,2450.1297002835204,290.5219447532691,0.5197999855684006,0.06451716398849737,24.856746857894233,16.933920644383946,59.956100344135464,972.325369667867,964.8613780473187,59.956100344135464,33.18984258630497,438844.0304727247,0.27831305839213893,0,0,0,1.0027397260273974,0.0,0,0.05
1964,2742.499149867776,264.1051871975735,0.4805230263991646,0.06850328613236198,24.92750788051905,16.227620729796016,59.347131690364606,973.0316695824547,964.7892030235267,59.347131690364606,32.4883648304535,419504.5732156464,0.26604805505812174,0,0,0,1.0,0.0,0,0.2
1965,5396.328800163887,246.1954239432886,0.4728449071180803,0.03423857167995405,25.001875217974447,11.367382869118801,60.17152891604115,977.9306667488871,964.750356603386,60.17152891604115,25.497923556735767,407496.02962796943,0.2584322866742576,0,0,0,1.0,0.0,0,0.25
1966,3452.248381930785,266.78604271350054,0.4932841965384821,0.04467195427194128,24.91382922133461,14.688384952816774,59.03294320520085,974.5709053594342,964.7957891429297,59.03294320520085,30.911271856123978,416422.04612012336,0.2640931291984547,0,0,0,1.0,0.0,0,0.2
1967,5513.419393582916,256.6827889882703,0.4533810345185399,0.03732467293302795,24.96385255011396,11.203070350084618,59.96423070377079,978.1044995528005,964.7719688076762,59.96423070377079,25.019154455760148,391526.42160358035,0.24830442770394492,0,0,0,1.0027397260273974,0.0,0,0.55
1968,8539.833006270135,281.3222739992266,0.3910106314592865,0.03587901921233733,24.83489076953501,8.130048616772868,58.93720803472382,981.5788016169827,964.8345132638824,58.93720803472382,0.0,365036.3955830588,0.23150456340883993,0,0,0,0.863013698630137,0.136986301369863,50,0.9500000000000001
1969,4873.665761819121,335.4728177879068,0.4355340706900914,0.043534345968618736,24.59841300064518,12.138112015653029,59.204928631335754,977.121178296598,965.0126758520996,59.204928631335754,27.75210606889584,421827.795580657,0.2675214330166521,0,0,0,1.0,0.0,0,0.15000000000000002
1970,3139.3228726318957,320.2150422476492,0.4728449071180803,0.07155880940488421,24.65420394301239,15.339663991565955,59.03294320520085,973.919626320685,964.9581427597217,59.03294320520085,37.056378260332224,432777.60747950245,0.27446575816812685,0,0,0,1.0,0.0,0,0.05
1971,1881.0436962338129,275.9224808516464,0.5106163793792917,0.0786797246105035,24.865125514676485,18.467237848574047,60.50019700997456,970.7920524636768,964.8195633204764,60.50019700997456,35.00364208627205,439622.47346841975,0.2788067437014331,0,0,0,1.0027397260273974,0.0,0,0.05
1972,1208.137555230546,229.3650854576809,0.514463654154423,0.10185150488371986,25.093014105892358,20.650107437525733,59.83008964891336,968.6091828747252,964.7234841110773,59.83008964891336,23.685613338941998,431763.265076129,0.2738224664359012,0,0,0,1.0,0.0,0,0.1
1973,2840.311133494523,209.2745177174335,0.5279610373801357,0.059893135721796574,25.10931370221045,16.001675022333828,60.180344638097665,973.2576152899173,964.7070400761114,60.180344638097665,23.89454640427615,395239.1867336466,0.25065904790312443,0,0,0,1.0,0.0,0,0.4
1974,5415.424041152379,220.53049583159046,0.4760289697735415,0.044596193389459776,25.07860418649529,11.340408774878329,56.69055975418046,977.9591934198868,964.7139035738527,56.69055975418046,25.41927203792797,377529.3999619512,0.23942757481097868,0,0,0,1.0,0.0,0,0.8
1975,5434.01921081911,239.64129376144416,0.4590193879920451,0.04428936946776511,25.03811113253227,11.314208207592358,60.180344638097665,977.9869059046324,964.7386603273816,60.180344638097665,25.3428961189422,392230.6233653321,0.24875102953153988,0,0,0,1.0027397260273974,0.0,0,0.5
1976,2831.488197054909,335.4728177879068,0.4269559258036981,0.07638560997449591,24.574375640467103,16.021856557643403,60.50019700997456,973.2374337546077,965.0126758520996,60.50019700997456,38.97766295888946,445254.6523311289,0.2823786481044704,0,0,0,1.0,0.0,0,0.0
1977,6347.584761383252,273.7644374568714,0.4231192818227289,0.04428936946776511,24.86609195876987,9.896295124718293,59.6383138407224,979.4790982617263,964.8137698976084,59.6383138407224,0.0,385917.1618108274,0.2447470584797231,0,0,0,0.989041095890411,0.010958904109589041,4,0.6000000000000001
1978,5326.301133333888,338.3210417029997,0.4433177093614922,0.055385527895481734,24.57900776111257,11.466908491499634,59.96423070377079,977.8254473869993,965.0231531736588,59.96423070377079,25.78829639124925,427736.57364220836,0.2712687554808526,0,0,0,1.0,0.0,0,0.1
1979,3067.825784637742,311.8155700798613,0.4447319276810018,0.06242462564829359,24.73008480812923,15.494222174592506,59.956100344135464,973.7650681376584,964.9293962084275,59.956100344135464,37.49463808606957,427008.9296044138,0.27080728665931875,0,0,0,1.0027397260273974,0.0,0,0.1
1980,3452.248381930785,283.6079686159883,0.4750071465933458,0.06091342144942676,24.856746857894233,14.688384952816774,59.03294320520085,974.5709053594342,964.8410290195503,59.03294320520085,33.18984258630497,425647.00046990864,0.26994355686828303,0,0,0,1.0,0.0,0,0.15000000000000002
1981,1436.9972565708524,243.27968621428658,0.4850384421166294,0.08730297922680243,25.041966722961305,19.85235322160709,60.180344638097665,969.4069370906441,964.7449711020424,60.180344638097665,27.166345830808982,425666.2941639525,0.2699557928487776,0,0,0,1.0,0.0,0,0.15000000000000002
1982,1117.0362502238706,222.2828362851385,0.4995886136944385,0.11399921044365778,25.06920974952541,20.986324979820395,59.83008964891336,968.2729653324304,964.7155282950152,59.83008964891336,25.37584738855323,431035.6095667456,0.2733609903391334,0,0,0,1.0,0.0,0,0.1
1983,1807.794012387604,212.05144921368182,0.4574361569312088,0.07159944787520144,25.10250556170348,18.682781965693337,59.33856682965085,970.5765083465576,964.7081305219467,59.33856682965085,24.73388951958707,405428.8692578409,0.2571213021675805,0,0,0,1.0027397260273974,0.0,0,0.25
1984,1952.5344676593647,199.0925590239552,0.5335225197244101,0.07722243837734956,25.390715534276705,18.26127687479364,59.83008964891336,970.9980134374573,964.3985022799416,59.83008964891336,22.80314543138068,401979.59675370716,0.2549337878955525,0,0,0,1.0,0.0,0,0.35000000000000003
1985,3049.547329305057,201.17011281861926,0.5259170804891159,0.05111454946408335,25.12608630142817,15.534100139217527,60.034363748004246,973.7251901730334,964.7062133951467,60.034363748004246,21.938060443046144,393208.3127275088,0.24937107605752712,0,0,0,1.0,0.0,0,0.5
1986,2076.7821263719575,239.64129376144416,0.512727565590965,0.07327329853929335,25.05626942446568,17.91312495353914,59.83008964891336,971.3461653587117,964.7386603273816,59.83008964891336,26.10241510574223,428134.393854349,0.2715210514043309,0,0,0,1.0,0.0,0,0.1
1987,2467.4434971899177,224.67104686473823,0.512727565590965,0.061384095820668026,25.085953355319727,16.89071796994456,60.18616315951858,972.3685723423064,964.7179669028592,60.18616315951858,25.00280573795675,402818.15610542253,0.25546559874773117,0,0,0,1.0027397260273974,0.0,0,0.35000000000000003
1988,3811.676948218156,209.2745177174335,0.5106163793792917,0.06285758612728656,25.10931370221045,13.985845818293868,60.180344638097665,975.2734444939572,964.7070400761114,60.180344638097665,23.89454640427615,385228.66038483276,0.2443104137397468,0,0,0,1.0,0.0,0,0.65
1989,1027.8009259147987,212.05144921368182,0.4487829919628007,0.11369383166460473,25.090122802167066,21.326792592123255,60.034363748004246,967.9324977201276,964.7081305219467,60.034363748004246,26.010939034206423,410927.94084148976,0.2606087904880072,0,0,0,1.0,0.0,0,0.2
1990,2293.9632006513275,199.0925590239552,0.487210574194934,0.07722243837734956,25.437889857510857,17.332079500671128,60.08103044172197,971.9272108115796,964.3985022799416,60.08103044172197,21.767342937105198,384917.12317914225,0.24411283813999382,0,0,0,1.0,0.0,0,0.65
