WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,Exceedance
1950,4401.902674556776,192.89523707448373,0.504083003920991,0.05300893207969328,19.802789970479406,18.063098006885255,47.37516750892597,970,970,179.31066389508962,20.33347299161169,868670.589802976,0.5509072741013292,0.3698630136986301,0.08493150684931507,0.20821917808219179,0.336986301369863,0.0,0,0.4
1951,6170.049530809099,256.6827889882703,0.4789471017177073,0.03965784829936261,19.75076495008069,18.063098006885255,47.912677116494855,970,970,180.73696226308337,24.08027636668495,931009.4824683438,0.5904423404796701,0.44931506849315067,0.038356164383561646,0.16164383561643836,0.35342465753424657,0.0,0,0.2
1952,5886.181288951835,220.53049583159046,0.4805230263991646,0.0450282396054956,19.792507760348105,18.063098006885255,47.912677116494855,970,970,178.9256140763147,21.171768785840214,898513.7810568627,0.5698337018371783,0.3780821917808219,0.0958904109589041,0.2356164383561644,0.29041095890410956,0.0,0,0.35000000000000003
1953,3811.676948218156,258.7976520087449,0.5332351314970081,0.057511654742298614,19.793688130764785,18.063098006885255,47.379673997413214,970,970,179.04337763449516,20.477100753000013,882712.6738911497,0.5598127054104196,0.3726027397260274,0.11232876712328767,0.19452054794520549,0.32054794520547947,0.0,0,0.4
1954,3803.114617748527,212.05144921368182,0.4760289697735415,0.06064225329750076,19.81063608365019,18.063098006885255,47.392785719899756,970,970,178.94556104082417,19.519728140336973,940329.3629991816,0.5963529699385982,0.4465753424657534,0.07671232876712329,0.16164383561643836,0.3150684931506849,0.0,0,0.2
1955,5672.879600260333,249.7991800258312,0.44035372729656336,0.05163011656961123,19.752853282238984,18.063098006885255,47.81242924031929,970,970,178.9256140763147,23.912038211449236,990373.5927052897,0.6280908122179666,0.4438356164383562,0.10410958904109589,0.2219178082191781,0.2328767123287671,0.0,0,0.1
1956,9153.793636168486,290.5219447532691,0.5045484527768191,0.026109393492951685,19.718124905213028,18.063098006885255,47.912677116494855,970,970,183.91363791484244,26.328524220910936,868650.7015049248,0.5508946610254469,0.3178082191780822,0.10410958904109589,0.2876712328767123,0.29041095890410956,0.0,0,0.4
1957,9912.101075056224,283.6079686159883,0.4398375761907168,0.019874696445110914,19.6848639640858,18.063098006885255,47.81242924031929,970,970,185.7163309940569,30.209180579235237,991514.909046646,0.6288146302934081,0.4547945205479452,0.07671232876712329,0.21643835616438356,0.25205479452054796,0.0,0,0.1
1958,4432.218100140775,243.27968621428658,0.4850384421166294,0.05278230872441863,19.786937825003733,18.063098006885255,47.639399178298255,970,970,179.0545108100703,21.46551833701985,909043.7389009631,0.576511757293863,0.3452054794520548,0.17534246575342466,0.2,0.27945205479452057,0.0,0,0.30000000000000004
1959,4629.081161917657,194.7956741845264,0.5339222515434264,0.0586341534250936,19.844191344082038,18.063098006885255,47.657256607773895,970,970,179.4019252810709,16.083329651470226,823668.0122089233,0.5223668266165166,0.32054794520547947,0.1178082191780822,0.19452054794520549,0.3698630136986301,0.0,0,0.6000000000000001
