WaterYear,Flow_min,Flow_median,Flow_mean,Flow_max,Flow_range,Volume,Flow_mean_pct_var,Flow_max_pct_var,Flow_min_pct_var,Volume_pct_var,Flow_mean_5yr_mvCoefVar,DaysToStart,SeasonStart,MeanQ3070,ExceedanceMean,ExceedanceMedian,ExceedanceMeanQ3070,Max_week,Peak_count,Peak_weeks,Min_weeks
1985,203.8061459600293,446.5971470916925,756.5833206131241,3037.6810958753917,2833.8749499153623,23.85961159885548,-31.6046494922754,-15.49779917683883,-5.234621884216228,-31.642160482080072,4.985917710163671,16 days,1985-10-17,494.3506596428544,0.778,0.894,0.869,30,1,[30],"[3, 52]"
1986,240.01852592331463,636.5710058731761,801.4314280520178,2072.880810578724,1832.8622846554092,25.273941515048435,-27.550367638155944,-42.33660973304955,11.60333883344628,-27.590102172750807,23.02434725807012,4 days,1986-10-05,647.719166075175,0.728,0.445,0.596,27,1,[27],
1987,223.3542529784466,471.8535922842787,779.6647410831487,2470.611727769566,2247.2574747911194,24.65487030842776,-29.518082421269686,-31.272532636979257,3.8548182026957325,-29.36374253638402,26.4787942945759,41 days,1987-11-11,556.8106229747912,0.758,0.809,0.778,30,1,[30],[7]
1988,208.03529202968363,674.100373656949,1334.3870243848667,3835.2143836271994,3627.1790915975157,42.08122920100116,20.628972063251517,6.687978697035711,-3.268161920460899,20.562813879871772,26.364498379728968,16 days,1988-10-17,818.0126488581822,0.273,0.374,0.293,31,2,"[25, 31]",[3]
1989,211.87161339732373,446.5971470916925,545.4956270314397,1026.2221646452983,814.3505512479746,17.20275009406348,-50.68703790481217,-71.45255584472538,-1.484356808669156,-50.71408328150313,30.13802124905723,56 days,1989-11-26,492.5588667145019,0.9400000000000001,0.894,0.879,34,3,"[20, 26, 34]",[8]
1990,201.4210899254934,429.7773216801184,775.1781415817353,2321.1140501404984,2119.692960215005,24.446017872921608,-29.923672310877976,-35.43125844751967,-6.343620515614007,-29.96210522179928,30.36540378564786,28 days,1990-10-29,490.1406692615607,0.768,0.92,0.889,25,1,[25],[5]
1991,172.56574886200318,462.75163971372143,492.99314968494616,919.1435986563256,746.5778497943224,15.58962657659724,-55.43327700737032,-74.43126697386342,-19.76071985607179,-55.33568569412702,14.901216077728186,14 days,1991-10-15,454.11747110712315,0.97,0.849,0.9400000000000001,25,2,"[12, 25]",[3]
1992,163.32701390801387,412.27089094730286,879.052607824561,3612.475718017554,3449.14870410954,27.721803040355358,-20.533390587876912,0.49183536981618403,-24.056528537906203,-20.576973538374883,17.499203109754944,13 days,1992-10-14,509.78379955918956,0.677,0.9380000000000001,0.8190000000000001,30,1,[30],[3]
1993,156.73997708737863,326.4362834779132,578.8017191731971,1811.7814344662977,1655.041457378919,18.253091015845943,-47.67615756418819,-49.59987115473481,-27.119355873312035,-47.70485423882441,18.201903860161483,24 days,1993-10-25,378.3403075611319,0.91,0.98,0.98,26,1,[26],[4]
1994,134.4382628947188,265.9944697033413,416.93088348959344,1249.723441829986,1115.2851789352674,13.14833234172782,-62.309327820421714,-65.23519819169931,-37.48916277065672,-62.3299990270076,17.991579199757496,20 days,1994-10-21,290.2634655490634,0.99,1.0,1.0,28,1,[28],[3]
1995,127.73176038820996,274.64227550799126,370.7577489410263,851.3629035297034,723.6311431414935,11.72424984011271,-66.48339250761354,-76.31679008532511,-40.60753902408141,-66.40999851494365,26.217762838872833,33 days,1995-11-03,307.36446161775723,1.0,0.99,0.99,31,2,"[16, 31]",[5]
1996,127.73176038820996,368.2762824622232,556.906124768877,1387.532391939381,1259.800631551171,17.562591550711307,-49.655525616665,-61.401629357503694,-40.60753902408141,-49.68313671963174,31.906494023765426,4 days,1996-10-05,427.34709746990467,0.93,0.97,0.96,32,2,"[20, 32]",[1]
1997,155.59249710144925,528.0943367872469,1098.1598836132407,3552.9403887456524,3397.347891644203,34.63157008962716,-0.7260296296482058,-1.1643181866049381,-27.65290884461555,-0.7804757997867792,28.74176552407018,17 days,1997-10-18,625.6470420127004,0.47500000000000003,0.6970000000000001,0.637,27,1,[27],[3]
1998,171.917829969895,530.3757189230134,1061.5990545566037,3389.09821029035,3217.180380320455,33.47858778449706,-4.031139126584043,-5.722079264926543,-20.061987899337932,-4.083772630690163,23.51900715271887,29 days,1998-10-30,625.437519547663,0.536,0.687,0.647,30,1,[30],[5]
1999,194.17597111261009,450.09530482769134,864.2676898838891,3367.275184419929,3173.0992133073187,27.3302185965843,-21.86995143613976,-6.329152113085393,-9.71244151246127,-21.69886382791757,15.767637827189752,31 days,1999-11-01,505.0688482136691,0.687,0.879,0.8290000000000001,28,1,[28],[5]
