Exceedance,VicFalls_full,VicFalls_overlap,VicFalls_factor_smooth,Ngonye_gauged,Ngonye_scaled,Ngonye_synthetic,Conversion
0.101,2751.0,3019.8,0.9121465096035534,3084.9691,2813.943796799815,2813.9437967998156,1.0228803332605654
0.10200000000000001,2745.2312,3019.8,0.9101818771245804,3076.64,2800.301970436569,2800.5761627048387,1.0200605218374936
0.10300000000000001,2735.7,3006.0,0.9076211561100601,3068.4383,2784.9795172983872,2784.9795172983872,1.0180134946442911
0.10400000000000001,2720.5,3002.3264,0.9060658425668701,3057.5163,2770.311082521439,2770.311082521439,1.0183095322629807
0.105,2705.3,2992.2,0.9043485441426571,3047.2993,2755.8206855219382,2755.8206855219382,1.0186747072494504
0.106,2690.1,2992.2,0.9026552362856474,3043.2068,2746.9665531200885,2746.9665531200885,1.021139196728779
0.107,2689.5872,2978.4,0.9005644839318618,3031.712,2730.2521527100325,2746.9665531200885,1.0151194029738215
0.108,2675.0,2975.6396,0.8984397041800564,3027.5605,2720.0805600072235,2720.0805600072235,1.016852545797093
0.109,2660.0,2964.7,0.896471718212071,3019.7408,2707.1122235310936,2707.1122235310936,1.0177113622297345
0.11,2645.0,2953.84,0.8952294285783641,3008.6284,2693.4126833366377,2693.4126833366377,1.0183034719609216
0.111,2630.1,2951.0,0.8926968485870549,3002.5182,2680.3385349652767,2680.3385349652767,1.019101378261388
0.112,2615.2,2937.3,0.8910986757678473,2984.1979,2659.214796919191,2659.214796919191,1.0168303750838144
0.113,2615.2,2937.3,0.8885425303796441,2976.0951,2644.38707080446,2659.214796919191,1.0111605501699528
0.114,2600.4,2937.3,0.8868031078590575,2973.272,2636.7068501103154,2636.7068501103154,1.0139620251154882
0.115,2595.6,2923.7,0.8849648018371143,2959.9966,2619.492804557532,2621.7307274766326,1.009205118106616
0.116,2570.9,2923.7,0.8827222322634408,2954.5304,2608.0296699781966,2608.029669978197,1.0144422847945065
0.117,2570.4,2910.1,0.8805723272754864,2944.6996,2593.0209798991937,2607.8108774843568,1.0088005679657617
0.11800000000000001,2556.2,2910.1,0.8789859105384811,2941.0842,2585.17157350734,2585.17157350734,1.0113338445768485
0.11900000000000001,2545.3,2910.1,0.8766033238030477,2933.0281,2571.1021812677377,2571.102181267738,1.0101371866843742
0.12,2534.776,2895.92,0.8753473899881244,2922.3003,2558.027940366513,2563.7061126808685,1.0091731736321132
0.121,2520.4,2883.1,0.8735386476689009,2919.6208,2550.4016053379946,2550.4016053379946,1.0119035094976967
0.122,2507.9,2879.0,0.8722554827379267,2911.5882,2539.6487709250514,2539.6487709250514,1.0126595043363178
0.123,2498.1,2869.6,0.8711145517005766,2903.5644,2529.337200639754,2529.337200639754,1.0125043835874281
0.124,2495.6,2866.5044,0.8696280654505383,2895.5493,2518.0509361756604,2518.0509361756604,1.008996207795985
0.125,2483.2,2856.2,0.8682541301256758,2884.8763,2504.805762376678,2504.8057623766786,1.0087007741529794
0.126,2469.3,2849.2242,0.8670433913934292,2879.2665,2496.4489908854894,2496.4489908854894,1.010994610167047
0.127,2458.7,2842.8,0.8657745492111346,2876.6442,2490.525335495825,2490.525335495825,1.0129439685589234
0.128,2446.4,2829.5808,0.8645644587732908,2866.2362,2478.0459489694135,2478.0459489694135,1.0129357214557773
0.129,2440.8,2829.5,0.8631834904903409,2862.2092,2470.611727769566,2470.6117277695666,1.012213916654198
0.13,2426.6,2816.2,0.8621774394085941,2858.0764,2464.168992186133,2464.168992186133,1.015482152883101
0.131,2416.4832,2802.9,0.8609728811728272,2850.2733,2454.008015230982,2457.3083819162175,1.0155286886459554
0.132,2409.7656,2802.9,0.8601389750434424,2839.6908,2442.5287341522926,2442.664961452521,1.0135959838385495
0.133,2398.3,2789.9712,0.859446523210653,2831.7463,2433.7345121496305,2433.7345121496305,1.0147748455779637
0.134,2384.3,2783.918,0.8583498098315291,2824.2708,2424.2123040927404,2424.2123040927404,1.0167396317966448
0.135,2384.3,2776.5,0.8575888993870725,2815.8839,2414.870774602777,2424.2123040927404,1.012821698025742
0.136,2370.3,2763.3,0.8569926460789704,2805.3286,2404.1459800350135,2407.695957223607,1.0142791967409246
