MonthId,Year,Month,Days,DateStart,WaterYear,WaterMonth,Flow_min,Flow_mean,Flow_median,Flow_max,Volume,Flow_range
1995.02,1995,2,28,1995-02-01,1994,5,390.8976592517356,463.82983314391464,468.7894877795537,548.6483731630614,1.1220971323417583,157.75071391132576
1995.03,1995,3,31,1995-03-01,1994,6,557.4058114159483,744.9669886511291,715.8477772314175,1053.477690331766,1.9953195824031842,496.0718789158178
1995.04,1995,4,30,1995-04-01,1994,7,1103.0598300074992,1195.382471060585,1210.2544854472194,1248.1416263717365,3.0984313649890365,145.08179636423733
1995.05,1995,5,31,1995-05-01,1994,8,421.2757982838417,766.1256873445085,803.2602665624822,1085.8086152666144,2.0519910409835314,664.5328169827727
1995.06,1995,6,30,1995-06-01,1994,9,269.41446232359874,326.67431698502935,323.18074152543477,407.22722220422384,0.846739829625196,137.8127598806251
1995.07,1995,7,31,1995-07-01,1994,10,223.2962053952426,245.2315714898596,244.4626045006759,267.2983431379234,0.65682824107844,44.00213774268079
1995.08,1995,8,31,1995-08-01,1994,11,174.7541703854207,200.16732752071684,202.369186494966,220.9747716420752,0.5361281700314879,46.220601256654504
1995.09,1995,9,30,1995-09-01,1994,12,134.49444318548248,152.51444256797947,155.78070882723597,174.7541703854207,0.39531743513620277,40.259727199938226
1995.1,1995,10,31,1995-10-01,1995,1,130.69679901392678,140.26720977954335,140.02761109312348,146.65647743630612,0.375691694673529,15.95967842237934
1995.11,1995,11,30,1995-11-01,1995,2,130.2268076635365,156.63178938418463,147.35120751762844,208.8437713916968,0.4059895980838066,78.6169637281603
1995.12,1995,12,31,1995-12-01,1995,3,193.12284525271957,235.52572765518562,239.19066032867656,266.40022953190976,0.6308321089516491,73.27738427919019
1996.01,1996,1,31,1996-01-01,1995,4,269.41446232359874,369.7186102004337,392.32391027400666,429.0155916088776,0.9902543255608416,159.6011292852789
1996.02,1996,2,29,1996-02-01,1995,5,407.22722220422384,457.0102908932062,462.1366588813429,511.9040830925332,1.1450849848620175,104.67686088830936
1996.03,1996,3,31,1996-03-01,1995,6,518.5349271931256,600.4299968535796,592.2327021454171,693.3721189511056,1.6081917035726276,174.83719175798
1996.04,1996,4,30,1996-04-01,1995,7,705.1343274496203,780.3974752145136,787.5134427697581,842.9290012782407,2.0227902557560196,137.79467382862038
1996.05,1996,5,31,1996-05-01,1995,8,451.4626359831988,703.021034088545,751.19715816951,842.9290012782407,1.882971537702759,391.46636529504184
1996.06,1996,6,30,1996-06-01,1995,9,282.51762710592146,345.6668917007818,337.7181685850403,441.96648383669736,0.8959685832884264,159.4488567307759
1996.07,1996,7,31,1996-07-01,1995,10,231.6235232528665,255.01146802889687,256.6659042898363,280.8790272711299,0.6830227159685974,49.25550401826342
1996.08,1996,8,31,1996-08-01,1995,11,181.25563079734215,205.94621928670603,207.08601232648496,230.34527565908823,0.5516063537375134,49.08964486174608
1996.09,1996,9,30,1996-09-01,1995,12,135.43728133903477,157.77857936373402,159.01822968794087,178.5421861142719,0.40896207771079857,43.104904775237145
1996.1,1996,10,31,1996-10-01,1996,1,130.2268076635365,143.48526507433598,142.60018411583582,153.96949137376757,0.38431093397510147,23.742683710231063
1996.11,1996,11,30,1996-11-01,1996,2,142.52395822634563,166.0401280610808,169.17280074381935,192.03405238572148,0.4303760119343214,49.51009415937585
1996.12,1996,12,31,1996-12-01,1996,3,192.03405238572148,230.93058509198568,229.707769648906,293.642962740797,0.6185244791103744,101.6089103550755
1997.01,1997,1,31,1997-01-01,1996,4,301.8753632770107,413.5227386985168,413.14774947243217,523.4188053025671,1.1075793033301073,221.54344202555637
1997.02,1997,2,28,1997-02-01,1996,5,537.6863815887882,714.752426185799,751.19715816951,773.5352092678303,1.729129069428685,235.84882767904207
1997.03,1997,3,31,1997-03-01,1996,6,751.19715816951,902.731382101098,900.7722713547246,1098.6992543957572,2.4178757338195807,347.5020962262472
1997.04,1997,4,30,1997-04-01,1996,7,1108.121351813675,1256.7151653148146,1267.5566067135646,1377.3221475704613,3.257405708496,269.2007957567864
1997.05,1997,5,31,1997-05-01,1996,8,1147.327227684349,1316.8571701709516,1355.5132214748023,1400.0244225869646,3.5270702445858766,252.6971949026156
1997.06,1997,6,30,1997-06-01,1996,9,441.96648383669736,745.1338940676267,714.8098329405494,1136.328881646943,1.9313870534232884,694.3623978102457
1997.07,1997,7,31,1997-07-01,1996,10,283.3934202033604,347.9444888679928,343.24271333062256,432.3923384828149,0.9319345189840318,148.99891827945453
1997.08,1997,8,31,1997-08-01,1996,11,209.44053617901525,243.42078986390266,238.9285993269684,282.53251128457475,0.6519782435714768,73.0919751055595
1997.09,1997,9,30,1997-09-01,1996,12,177.38645064745327,194.7949493865297,192.5784488192205,210.6473338844528,0.5049085088098849,33.26088323699952
1997.1,1997,10,31,1997-10-01,1997,1,159.45130860447807,166.81060320997173,165.70450850558186,185.35704501792225,0.4467855196375884,25.905736413444174
1997.11,1997,11,30,1997-11-01,1997,2,161.14238862104068,180.82386480497502,180.01893307668,209.4099983200698,0.46869545757449527,48.26760969902912
1997.12,1997,12,31,1997-12-01,1997,3,209.4099983200698,298.2977446565849,272.9626631056898,410.0281808890731,0.7989606792881969,200.6181825690033
1998.01,1998,1,31,1998-01-01,1997,4,410.0281808890731,577.254755515374,544.7896676089908,709.5637534250716,1.5461191371723777,299.5355725359985
1998.02,1998,2,28,1998-02-01,1997,5,733.8677419640092,1160.2351307279616,917.6456156606736,2191.9754568393096,2.8068408282570845,1458.1077148753004
1998.03,1998,3,31,1998-03-01,1997,6,2223.9348746825845,2616.025655824921,2360.768472435208,3409.36692080699,7.006763116561468,1185.4320461244056
1998.04,1998,4,30,1998-04-01,1997,7,3102.398607762802,3320.783550502079,3265.5488154000104,3541.9975080357854,8.607470962901388,439.5989002729834
1998.05,1998,5,31,1998-05-01,1997,8,1885.3414406885008,2518.963029830046,2591.919626133224,3062.38230113231,6.746790579096794,1177.0408604438094
1998.06,1998,6,30,1998-06-01,1997,9,731.9869984918455,1197.2677586298664,1180.9489647489831,1801.5654066368047,3.103318030368614,1069.5784081449592
1998.07,1998,7,31,1998-07-01,1997,10,419.19501466813807,522.0364703062625,500.539796508352,695.5749118121586,1.3982224820682931,276.3798971440205
1998.08,1998,8,31,1998-08-01,1997,11,298.27697193786884,353.74870767810313,350.78479582188226,414.8802212090072,0.9474805386450315,116.60324927113834
