ExceedanceRnd,EWRTotal,FlowSpill,FlowAvailableForGeneration,FlowCanal,Power,Energy,LevelHeadpond,LevelTailwater,HeadTurbine1,Flow,Exceedance,GenerationVol,MaxGenerationFlow,MaxFlowFromStore,MaxVolFromStore,MaxVolToStore,StoreVol,PeakStoreFlow,OffpeakStoreFlow,OffpeakFlowCanal,PeakFlowCanal,PeakVol,OffpeakVol,PeakEnergy,OffpeakEnergy,EnergyTransfer,EnergyTransferProp,PeakPower,OffpeakPower,HeadpondDrop,PeakTailwaterFlow,OffpeakTailwaterFlow,PeakTailwaterLevel,OffpeakTailwaterLevel,TailwaterDrop
0.075,258.780487804878,1795.88509717608,2895.8850971760785,1100.0,134.0899732709893,3218.1593585037463,990.0,973.9523830524748,14.110714954411215,3154.665584980957,0.07548780487804871,95.04000000000039,1100.0,0.0,0.0,95.251863498339,0.0,0.0,0.0,1100.0,1100.0,15.840000000000002,79.20000000000019,536.3598930839572,2681.7994654197937,0.0,0.0,134.0899732709893,134.0899732709893,0.0,3154.665584980957,3154.665584980957,973.9523830524748,973.9523830524748,0.0
0.08,252.21290322580646,1732.9673525199096,2832.9673525199087,1100.0,135.82701498493427,3259.8483596384185,990.0,973.8027130004011,14.260385006484187,3085.1802557457154,0.08010322580645178,95.04000000000036,1100.0,0.0,0.0,92.98682469071666,0.0,0.0,0.0,1100.0,1100.0,15.839999999999993,79.20000000000016,543.3080599397371,2716.540299698687,0.0,0.0,135.82701498493427,135.82701498493427,0.0,3085.1802557457154,3085.1802557457154,973.8027130004011,973.8027130004011,0.0
0.085,249.05494505494505,1674.08407867542,2774.0840786754147,1100.0,137.39616172125753,3297.5078813101863,990.0,973.6672362160966,14.395861790790372,3023.1390237303603,0.08491758241758245,95.04000000000043,1100.0,0.0,0.0,90.8670268323152,0.0,0.0,0.0,1100.0,1100.0,15.840000000000016,79.20000000000024,549.5846468850301,2747.923234425157,0.0,0.0,137.39616172125753,137.39616172125753,0.0,3023.1390237303603,3023.1390237303603,973.6672362160966,973.6672362160966,0.0
0.09,249.7826086956522,1603.478939645985,2703.4789396459782,1100.0,139.18385867736882,3340.4126082568514,990.0,973.5125527355569,14.55054527132821,2953.2615483416303,0.09026708074534155,95.04000000000039,1100.0,0.0,0.0,88.32524182725537,0.0,0.0,0.0,1100.0,1100.0,15.839999999999998,79.20000000000017,556.7354347094752,2783.677173547377,0.0,0.0,139.1838586773688,139.1838586773688,0.0,2953.2615483416303,2953.2615483416303,973.5125527355569,973.5125527355569,0.0
0.095,261.4259259259259,1532.5337009368814,2632.5337009368855,1100.0,140.71902615691107,3377.2566277658652,990.0,973.3793917366816,14.68370627020513,2893.9596268628115,0.09480246913580245,95.04000000000039,1100.0,0.0,0.0,85.77121323372774,0.0,0.0,0.0,1100.0,1100.0,15.84,79.20000000000017,562.8761046276443,2814.3805231382244,0.0,0.0,140.71902615691107,140.71902615691107,0.0,2893.9596268628115,2893.9596268628115,973.3793917366816,973.3793917366816,0.0
0.1,256.50555555555553,1459.2500686324468,2559.2500686324447,1100.0,142.7674125462813,3426.417901110756,990.0,973.2012360974826,14.86186190940246,2815.7556241879993,0.10003333333333356,95.04000000000043,1100.0,0.0,0.0,83.13300247076806,0.0,0.0,0.0,1100.0,1100.0,15.840000000000014,79.20000000000023,571.0696501851252,2855.348250925631,0.0,0.0,142.7674125462813,142.7674125462813,0.0,2815.7556241879993,2815.7556241879993,973.2012360974826,973.2012360974826,0.0
0.105,254.87912087912088,1388.9507715488924,2488.9507715488867,1100.0,144.67620195835275,3472.2288470004605,990.0,973.0346791686445,15.028418838241787,2743.829892428007,0.10536263736263714,95.04000000000043,1100.0,0.0,0.0,80.60222777576003,0.0,0.0,0.0,1100.0,1100.0,15.840000000000016,79.20000000000024,578.704807833411,2893.524039167053,0.0,0.0,144.67620195835275,144.67620195835275,0.0,2743.829892428007,2743.829892428007,973.0346791686449,973.0346791686449,0.0
0.11,243.25641025641025,1342.9664802094012,2442.9664802094026,1100.0,146.2222711567653,3509.3345077623662,990.0,972.8993621690438,15.163735837840717,2686.2228904658123,0.10994230769230778,95.04000000000038,1100.0,0.0,0.0,78.94679328753834,0.0,0.0,0.0,1100.0,1100.0,15.839999999999995,79.20000000000016,584.8890846270612,2924.4454231353084,0.0,0.0,146.2222711567653,146.2222711567653,0.0,2686.2228904658123,2686.2228904658123,972.8993621690438,972.8993621690438,0.0
0.115,249.8187134502924,1272.94986599965,2372.9498659996493,1100.0,147.94457446898124,3550.669787255551,990.0,972.7481224791634,15.314975527722716,2622.7685794499416,0.11480116959064332,95.04000000000042,1100.0,0.0,0.0,76.42619517598735,0.0,0.0,0.0,1100.0,1100.0,15.840000000000007,79.2000000000002,591.778297875925,2958.8914893796245,0.0,0.0,147.94457446898124,147.94457446898124,0.0,2622.7685794499416,2622.7685794499416,972.7481224791634,972.7481224791634,0.0
0.12,250.90963855421685,1209.1298544718538,2309.1298544718557,1100.0,149.66517839098438,3591.9642813836253,990.0,972.5965329170939,15.466565089792727,2560.039493026071,0.1200180722891565,95.0400000000004,1100.0,0.0,0.0,74.12867476098681,0.0,0.0,0.0,1100.0,1100.0,15.840000000000003,79.20000000000019,598.6607135639375,2993.30356781969,0.0,0.0,149.66517839098438,149.66517839098438,0.0,2560.039493026071,2560.039493026071,972.5965329170939,972.5965329170939,0.0
