,year,month,node,cat,flow_sum,value
502,2017,9,LES,morning,-70,-4383.7
503,2017,9,LES,off,-700,-20728.300000000003
504,2017,9,MOZ,evening,-2089,-175982.40000000005
505,2017,9,MOZ,morning,-11469,-764281.7700000003
506,2017,9,MOZ,off,-27516,-865132.0800000009
507,2017,9,MOZ,standard,-23893,-1482216.8400000005
508,2017,9,NAM,evening,4336,358368.83999999997
509,2017,9,NAM,morning,10247,682059.26
510,2017,9,NAM,off,64915,1993569.7100000007
511,2017,9,NAM,standard,34947,2178003.1499999994
512,2017,9,RSA,evening,-4101,-326402.56999999995
513,2017,9,RSA,morning,-3684,-246007.24000000005
514,2017,9,RSA,off,-38294,-1198039.7700000005
515,2017,9,RSA,standard,-23720,-1485863.6999999997
516,2017,9,ZAMC,evening,181,14538.259999999998
517,2017,9,ZAMC,morning,1111,71731.11000000002
518,2017,9,ZAMC,off,13924,420010.65000000014
519,2017,9,ZAMC,standard,5461,340151.60999999987
520,2017,9,ZAMZ,off,-13650,-403291.0999999999
521,2017,9,ZAMZ,standard,-1270,-79477.69999999998
522,2017,9,ZIM,morning,-6,-420.09999999999997
523,2017,9,ZIM,off,-2,-64.70000000000061
524,2017,9,ZIM,standard,-250,-15615.45
525,2017,10,BOT,evening,784,66616.26
526,2017,10,BOT,morning,4831,323636.5399999999
527,2017,10,BOT,off,12761,404228.44999999995
528,2017,10,BOT,standard,16220,1005048.4800000001
529,2017,10,LES,evening,-10,-851.5
530,2017,10,LES,morning,-160,-10228.75
531,2017,10,LES,off,-2840,-83354.92000000001
532,2017,10,LES,standard,-345,-20373.800000000003
533,2017,10,MOZ,evening,-2808,-239831.99999999994
534,2017,10,MOZ,morning,-13942,-950031.55
535,2017,10,MOZ,off,-28766,-883020.0799999998
536,2017,10,MOZ,standard,-27609,-1703567.4700000014
537,2017,10,NAM,evening,3634,309809.67000000004
538,2017,10,NAM,morning,12850,870739.8400000001
539,2017,10,NAM,off,74626,2236097.1799999997
540,2017,10,NAM,standard,39329,2425672.0700000003
541,2017,10,RSA,evening,-3171,-270996.22000000003
542,2017,10,RSA,morning,-3423,-220993.90000000002
