month_no,hour_ref,year,month,hour,hourlyid,market,price_mean,volume,day_of_week,volume_sum,price_stdv,price_max,price_min,price_coefvar,price_range,hours,power
2019.11,weekday_17,2019,11,17,60316.28571428572,1.0,96.8814285714286,219.8095238095238,2.0952380952380953,4616.0,19.435960816413036,145.68,81.15,20.06159601794406,64.53,21,219.8095238095238
2019.11,weekend_17,2019,11,17,60295.333333333336,1.0,44.666666666666664,268.35555555555555,5.444444444444445,2415.2,17.67413222763709,90.03,29.99,39.56895274844125,60.040000000000006,9,268.35555555555555
2019.11,weekday_18,2019,11,18,60317.28571428572,1.0,217.54190476190476,72.64285714285714,2.0952380952380953,1525.5,33.04225228688982,271.83,132.95,15.188913751147808,138.88,21,72.64285714285714
2019.11,weekend_18,2019,11,18,60296.333333333336,1.0,73.27555555555556,189.53333333333333,5.444444444444445,1705.8,10.793143785652896,90.07,55.21,14.72952842707528,34.85999999999999,9,189.53333333333333
2019.11,weekday_19,2019,11,19,60318.28571428572,1.0,222.48190476190476,78.94285714285714,2.0952380952380953,1657.8,26.42029629263222,275.0,138.83,11.875256246527842,136.17,21,78.94285714285714
2019.11,weekend_19,2019,11,19,60297.333333333336,1.0,86.95222222222222,110.85555555555555,5.444444444444445,997.7,11.057224762319182,110.0,72.09,12.716437233841399,37.91,9,110.85555555555555
2019.11,weekday_20,2019,11,20,60319.28571428572,1.0,126.92904761904762,125.45714285714283,2.0952380952380953,2634.5999999999995,72.33349583040778,275.0,81.19,56.98734622787247,193.81,21,125.45714285714283
2019.11,weekend_20,2019,11,20,60298.333333333336,1.0,61.21888888888889,170.73333333333332,5.444444444444445,1536.6,18.417763466586035,90.09,43.71,30.085099224871463,46.38,9,170.73333333333332
2019.11,weekday_21,2019,11,21,60320.28571428572,1.0,87.95285714285716,210.88095238095238,2.0952380952380953,4428.5,13.07122532238548,118.17,71.26,14.861626724819846,46.91,21,210.88095238095238
2019.11,weekend_21,2019,11,21,60299.333333333336,1.0,48.89666666666666,169.77777777777777,5.444444444444445,1528.0,15.722614286434682,90.05,39.94,32.15477732586001,50.11,9,169.77777777777777
2019.11,weekday_22,2019,11,22,60321.28571428572,1.0,35.392857142857146,315.59999999999997,2.0952380952380953,6627.599999999999,3.4511101733458793,43.44,30.99,9.750866281905612,12.45,21,315.59999999999997
2019.11,weekend_22,2019,11,22,60300.333333333336,1.0,36.27777777777778,360.4222222222222,5.444444444444445,3243.7999999999997,2.9184789607678217,42.55,32.67,8.044811836726002,9.879999999999995,9,360.4222222222222
