WaterYear,Flow_max,Flow_min,EWRProportion_max,EWRProportion_min,HeadTurbine1_max,HeadTurbine1_min,PowerTurbine1_max,LevelTailwater_max,LevelTailwater_min,Power_max,Power_min,Energy,CapFactor,Prop4Units,Prop3Units,Prop2Units,Prop1Units,Prop0Units,Days0Units,PropDays1uPotentialGtRatedPower,PropDays2uPotentialGtRatedPower,PropDays3uPotentialGtRatedPower,PropDays4uPotentialGtRatedPower,FstDay1uPotentialLessRatedPower,LstDay1uPotentialLessRatedPower,FstDay2uPotentialLessRatedPower,LstDay2uPotentialLessRatedPower,FstDay3uPotentialLessRatedPower,LstDay3uPotentialLessRatedPower,FstDay4uPotentialLessRatedPower,LstDay4uPotentialLessRatedPower,Exceedance
1963,2454.214686734829,289.7090023536055,0.515823828316938,0.0645001157306976,24.86140162768889,15.866717728559776,59.60420450805861,972.1963802783256,964.8588360094144,193.4060315424725,33.019122760787305,1028049.2614990223,0.651984564623936,0.41643835616438357,0.14520547945205478,0.18904109589041096,0.25205479452054796,0.0,0,273,267,260,247,52.0,144.0,48.0,146.0,44.0,149.0,36.0,154.0,0.0
1964,2758.9368686024773,262.6513991364102,0.4825988590758823,0.068359416157642,24.969909289816272,15.131181427499952,59.46285308245549,972.9319165793852,964.7506055965456,192.4622014901836,32.23332776423052,895496.0332289763,0.5679198587195435,0.336986301369863,0.11232876712328767,0.22465753424657534,0.32602739726027397,0.0,0,277,274,269,260,60.0,147.0,59.0,149.0,57.0,152.0,53.0,157.0,0.25
1965,5461.037923581306,247.0031101372413,0.4707114397978651,0.0338288047797271,25.068244681637072,9.887120215022676,59.95547658806168,978.2199984023152,964.6820186608236,192.4934788584277,0.0,850590.1284667406,0.5394407207424788,0.336986301369863,0.10136986301369863,0.2219178082191781,0.3232876712328767,0.01643835616438356,6,267,263,260,248,62.0,159.0,61.0,162.0,60.0,164.0,54.0,170.0,0.45
1966,3445.6562723883453,266.40022953191016,0.491314717730027,0.0448015826225226,24.945044379249907,13.557778763014724,59.08268675350939,974.5053192438704,964.7656009181276,192.65232721753355,30.830635696415698,895644.3498947411,0.5680139205319261,0.33972602739726027,0.12054794520547946,0.18356164383561643,0.3561643835616438,0.0,0,280,276,272,263,87.0,171.0,86.0,174.0,85.0,177.0,80.0,181.0,0.2
1967,5594.069795175452,256.6659042898368,0.4474345912593244,0.0369977155780874,25.009200331892867,9.69306755515136,59.27730059834485,978.4248674845702,964.7266636171594,190.00115114250565,0.0,857813.2348735657,0.5440215847752192,0.43561643835616437,0.09041095890410959,0.2465753424657534,0.20273972602739726,0.0273972602739726,10,217,216,214,206,18.0,166.0,18.0,167.0,17.0,168.0,16.0,175.0,0.4
1968,8571.63865618811,280.87902727113044,0.39162767355292,0.0348609503377648,24.84715801335908,6.927788721909636,59.26136574519084,981.5925025624608,964.8235161090844,191.6822155282325,0.0,788235.3469806161,0.4998955777401168,0.27671232876712326,0.14794520547945206,0.2684931506849315,0.13972602739726028,0.16712328767123288,61,236,233,230,217,49.0,177.0,48.0,179.0,47.0,181.0,41.0,188.0,0.8
1969,4990.690795553161,335.8283516156162,0.4347459030710703,0.0419374801059182,24.53083887527202,10.57013385102296,58.71790019409595,977.4929641558624,965.079141758078,193.7440133103705,41.209483058020034,985781.1094323911,0.6251782784325159,0.4383561643835616,0.14520547945205478,0.3150684931506849,0.10136986301369863,0.0,0,239,234,228,218,25.0,150.0,22.0,152.0,20.0,156.0,15.0,161.0,0.05
1970,3141.212178585449,320.5117836285307,0.4707114397978651,0.0713410227529841,24.614234424023152,14.208447920644588,58.87392907773838,973.8546500862408,965.0025589181428,193.5452045668537,40.21592864777632,964410.9150399015,0.6116253900557468,0.3835616438356164,0.13150684931506848,0.21643835616438356,0.2684931506849315,0.0,0,267,262,257,245,50.0,147.0,48.0,150.0,47.0,154.0,42.0,161.0,0.1
1971,1879.533739915912,275.0270298988171,0.5066883384495806,0.0787429333440012,24.887075831125824,17.35229669331075,60.021164816668445,970.7108013135744,964.8001081195952,193.4241671511808,34.76001415422995,944204.8730802228,0.5988108023086142,0.29041095890410956,0.19452054794520549,0.2219178082191781,0.2958904109589041,0.0,0,313,307,302,288,101.0,153.0,99.0,157.0,98.0,161.0,91.0,168.0,0.1
1972,1228.7491541059403,234.5309872359156,0.5031318095348456,0.1017294698289759,25.198655040658878,19.583216162242778,59.33970793833326,968.6189259129044,964.6071859234156,193.2238212716872,25.14791814636401,809771.257186642,0.513553562396399,0.1780821917808219,0.1780821917808219,0.21643835616438356,0.4273972602739726,0.0,0,365,365,365,330,,,,,,,103.0,138.0,0.7000000000000001
1973,2860.071249515924,209.35312898019973,0.5285827981457416,0.0596022288645443,25.36007463312763,14.887063956329555,59.46285308245549,973.1760340505556,964.4561187738811,191.4855615765928,24.15007306266121,930295.9995650968,0.5899898525907514,0.40821917808219177,0.11232876712328767,0.12876712328767123,0.3506849315068493,0.0,0,241,238,235,228,39.0,162.0,38.0,164.0,37.0,166.0,35.0,171.0,0.15000000000000002
1974,5498.71880388668,219.11865300258552,0.4763460019098556,0.0438756049455072,25.28088442657646,9.832155378687348,54.90737747029301,978.2780269579856,964.5147119180156,192.84085378441435,0.0,838919.5177409522,0.5320392679737139,0.410958904109589,0.0684931506849315,0.20273972602739726,0.2821917808219178,0.03561643835616438,13,230,227,223,214,33.0,167.0,31.0,168.0,30.0,171.0,27.0,177.0,0.55
1975,5537.063002227241,241.2674784651616,0.4559255176030022,0.0437645743070148,25.125434903933375,9.776222964977435,59.27730059834485,978.33707702343,964.647604870791,191.56016828237324,0.0,837828.2805045298,0.5313472098582761,0.38082191780821917,0.12054794520547946,0.23013698630136986,0.2602739726027397,0.010958904109589041,4,245,243,241,231,63.0,183.0,63.0,185.0,63.0,187.0,59.0,193.0,0.6000000000000001
1976,2851.0349296246977,335.8283516156162,0.4255394548516325,0.0761488898436188,24.506761581534413,14.908875762963548,59.60420450805861,973.1542222439216,965.079141758078,193.57963579712856,42.90403598217341,973342.60988297,0.6172898337664701,0.3780821917808219,0.1178082191780822,0.2684931506849315,0.2356164383561644,0.0,0,252,249,245,237,59.0,171.0,58.0,173.0,56.0,175.0,52.0,179.0,0.05
