Year,MonthNo,MonthName,Energy
2000,6, Jun ,124.1
2000,7, Jul ,84.3
2000,8, Aug ,48.8
2000,9, Sep ,30.9
2000,10, Oct ,21.1
2000,11, Nov ,19.5
2000,12, Dec ,30.8
2001,1, Jan ,53.4
2001,2, Feb ,66.1
2001,3, Mar ,106.8
2001,4, Apr ,108.2
2001,5, May ,117.4
2001,6, Jun ,126.6
2001,7, Jul ,75.9
2001,8, Aug ,43.4
2001,9, Sep ,28.5
2001,10, Oct ,16.3
2001,11, Nov ,11.7
2001,12, Dec ,30.6
2002,1, Jan ,66.1
2002,2, Feb ,92.1
2002,3, Mar ,119.6
2002,4, Apr ,102
2002,5, May ,100.7
2002,6, Jun ,121
2002,7, Jul ,108.4
2002,8, Aug ,59.1
2002,9, Sep ,39.3
2002,10, Oct ,26.1
2002,11, Nov ,25.9
2002,12, Dec ,49
2003,1, Jan ,65.3
2003,2, Feb ,74.3
2003,3, Mar ,112.8
2003,4, Apr ,130
2003,5, May ,128.5
2003,6, Jun ,129.7
2003,7, Jul ,91.1
2003,8, Aug ,50.1
2003,9, Sep ,32.7
2003,10, Oct ,24.5
2003,11, Nov ,20.3
2003,12, Dec ,31.8
2004,1, Jan ,58
2004,2, Feb ,85.2
2004,3, Mar ,127
2004,4, Apr ,118.9
2004,5, May ,98.1
2004,6, Jun ,118.7
2004,7, Jul ,114.1
2004,8, Aug ,60.8
2004,9, Sep ,37.7
2004,10, Oct ,25
2004,11, Nov ,21.1
2004,12, Dec ,33.7
2005,1, Jan ,64.6
2005,2, Feb ,90.9
2005,3, Mar ,124.9
2005,4, Apr ,83.9
2005,5, May ,95.5
2005,6, Jun ,117.5
2005,7, Jul ,114.5
2005,8, Aug ,62
2005,9, Sep ,38.9
2005,10, Oct ,26.6
2005,11, Nov ,22.3
2005,12, Dec ,38.5
2006,1, Jan ,57.9
2006,2, Feb ,80.3
2006,3, Mar ,119.4
2006,4, Apr ,131.8
2006,5, May ,136.5
2006,6, Jun ,115.2
2006,7, Jul ,65.1
2006,8, Aug ,43.1
2006,9, Sep ,30
2006,10, Oct ,17.3
2006,11, Nov ,14.6
2006,12, Dec ,35
2007,1, Jan ,65.4
2007,2, Feb ,92.1
2007,3, Mar ,127.4
2007,4, Apr ,115.5
2007,5, May ,117.1
